video_id,author,comment,
O2xb1lVqUv4,@ragilboy,Mau pake Hp apapun pasti akan kecewa setelah 3bln pembelian krn pasti ada lg hp baru dgn teknologi yg lebih baru plus canggih dgn harga kurang lebih sama ????,
O2xb1lVqUv4,@danangsetiawan8944,Gaji karyawan stak tapi iPhone harganya makin gak masuk akal mending duitnya buat nasi Padang,
O2xb1lVqUv4,@ziyadrofii4552,"terlalu mahal bagiku,,, ????",
O2xb1lVqUv4,@SamSuen-f2u,Susah banget pindah dari iPhone,
O2xb1lVqUv4,@bsblitar4208,Kloninganya sudah melampaui,
O2xb1lVqUv4,@wwn-xu2io,"kyak nya helmi yahya, agak2 nggak  nyambung bicara nya om deddy.",
O2xb1lVqUv4,@danielbudiono7232,"<a href=""https://www.youtube.com/watch?v=O2xb1lVqUv4&amp;t=1920"">32:00</a> update software mahal, makanya brand ngakali dengan keluarin hp dengan chipset yg sama berulang2.<br>sangat pintar sih.",
O2xb1lVqUv4,@Cafe_Mikrochip,"Leica , hazzebald legend di kamera ??",
O2xb1lVqUv4,@Papaqueen-801,Itu artinya Polisi aja mengajarkan rakyat tuk maen curang.yaa mereka sih kita maklumi karena emang dah bawaan lahir punya karakter korup n serakah makanya gak aneh yg namanya seragam cokelat tuh punya barang2 mewah yg belum legal di negeri Konoha,
O2xb1lVqUv4,@Adlankhoirulazzam-c3q,Saya termasuk yg tidak peduliin brand.biar lokal kalo spek mantap knapa kagak,
O2xb1lVqUv4,@danielbudiono7232,"permasalahannya cuma 1,<br>developernya atau malah top manajemennya terlalu greedy untuk menjangkau semua segmen pasar.<br>redmi dulu terkenal dengan hp terjangkau untuk kalangan menengah kebawah.<br>naik dikit ada redmi note yg lebih all rounder.<br>sekarang ngga seperti itu, makin lama target pasarnya makin tabrakan.",
O2xb1lVqUv4,@UsmanRolibi,Kapan merek lokal terkenal.,
O2xb1lVqUv4,@UsmanRolibi,Pajaknya di kurangi biar hp nya tidak istimewa...,
O2xb1lVqUv4,@kenshinhiimura5020,Ada charger nya..ada charger nya..adaa charger nyaa...,
O2xb1lVqUv4,@cuniproject3617,Selama make xiomi juga enak ekosistem nya cuma suku Bug aja,
O2xb1lVqUv4,@husnulkhotimah8565,"W pake android buat fungsional,",
O2xb1lVqUv4,@sikecilimyut5284,Saya orang nya Kaum mendang mending lagi nonton ??,
O2xb1lVqUv4,@jarogi,Kurang lama ini durasi nya haha,
O2xb1lVqUv4,@allgimuhamad,Kebanyakan untuk gengsi doang ??,
O2xb1lVqUv4,@rectovlog-m3g,"Yang saya heran knp JR gk pernah bahas produk Apple, beda dgn iTech life itu hanya bahas produk Apple??",
O2xb1lVqUv4,@RaditAja-i4w,"huawei series P di dan mate, dulu jadi series iphone killer.<br><br>masih  inget banget dulu p30 pro huawei viral banget.<br>bahkan huawei pura 80 ultra masih jadi top 1 dengan kamera terbaik.<br><br>samsung dan iphone tuh masih tertolong nama besar nya aja.<br>sedangkan hp china itu hp sejuta umat dan semua kalangan.<br><br>ibarat nya orang punya iphone, pasti punya hp android.<br>sedangkan pengguna android ga perlu lgi beli iphone????",
O2xb1lVqUv4,@mr.3baroqueworks5,Jarang ni podcast² soal dinamika perhandphone&#39;an global,
O2xb1lVqUv4,@anwarhidayat5045,"selama semua HP harganya terjangkau di bawah 4rebu, saya beli.. krn sesuai kebutuhan dan tidk konsumtif..",
O2xb1lVqUv4,@DeniSaputra-ky6it,y,
O2xb1lVqUv4,@Lody381,Hp laknat gk usah dibeli kita sll dibohongi iphone,
O2xb1lVqUv4,@amien5325,hmmm,
O2xb1lVqUv4,@saidmarwan4659,"Lu nenteng iPhone orang ngelirik. Saat lu nenteng hp merek lain, orang gk peduli. Itu aja poinnya. iPhone itu kayak barang branded. Walaupun ada yg murah dan kualitas bagus, orang Akan tetap beli yg real brand walaupun harga selangit.",
O2xb1lVqUv4,@xiaoleepheng1080,Penggemar Xiaomi hadirrr....<br><br>Sekrng masih pakai Xiaomi 14t pro...masih sangat awet..<br><br>Untuk pakai sehari hari masih aman...kamera juga gak kalah..jarang Selvi sih..kebanyakan buat vidio&quot;aja??????,
O2xb1lVqUv4,@dennisaints,"Gw pk z fold 5 lipat, dan xiaomi poco F4GT fast charging 120W. charging 5-10 menit full. Si poco malah jadi hp utama. Sudah 2-3 tahun gak pernah masalah, stabil, kebanting berapa kali kuat. Klopun ganti, gak mau ganti lain, harus xiaomi super charging 120W.",
O2xb1lVqUv4,@hartantodewantara325,"HP utama S21Fe, kamera dan layar bagus tapi harga lebih murah dari seri S lain maupun IP saat itu, sampai skrg aman karena gak buat game atau sosmed brutal, hobi game ane udah ganti2 HP, mulai lenovo K6 power, Xiomi, meizu, infinix, skrg pakai poco x6, pengenya ganti poco x7, tapi hp utama gak ada niatan ganti cz masih wort it. Intinya HP utama cari yang update lama, nyaman buat keamanan, hp kedua buat penunjang hobi atau kebutuhan lain.",
O2xb1lVqUv4,@rusrusday,"Yg punya uang lebih sih gak masalah beli iPhone terbaru.<br>Yg jadi masalah kan yg buat beli rumah aja belum bisa, buat makan aja susah, tapi maksa-maksa untuk ikutin orang-orang beli iPhone.",
O2xb1lVqUv4,@hackproject8,"NOKIA paling gila sih dulu designernya paling cerdas. Sekarang buildquality nokia ada di samsung, cuma designya masih jauh sama nokia.",
O2xb1lVqUv4,@kautjankgame4446,Dan masih banyak yang bilang om ded orangnya samsung...??????,
O2xb1lVqUv4,@EnidSinclair-o5v,Aku suka logo Helmi Yahya Bicara....kereen,
O2xb1lVqUv4,@adiyusuppermana4188,Sya skrng coba motorola smoga konsisten dan buat ekosistem di indonesia,
O2xb1lVqUv4,@pecintasegopecel,ulasan ini jadi ingat pegang hp pertama motorola startack,
O2xb1lVqUv4,@alfaleo,Hanya org tolol yg kemakan Prestige ????,
O2xb1lVqUv4,@ericlie145,Sedang menunggu xiaomi 17,
O2xb1lVqUv4,@RichieJuno,"Masalahnya China belum memegang pasar OS smartphone global.. harmonyOS masih harus berjuang lagi melawan IOS Apple dan Android google utk memenangkan pasar konsumen global. Kedua, chipset kirin yang benar2 asli Tiongkok harus melawan Qualcomm, Samsung dan merk2 Taiwan.... Kecuali kalo China berhasil menginvasi Taiwan ??????",
O2xb1lVqUv4,@indrakurniawan2104,jaman BlackBerry entah kenapa gak pengin punya. karna lebih tertarik hp layar sentuh apa lagi yg pake pena dulu. sampai akhirnya ada android dan gak lama kemudian BBM bisa dipake di android. bubar lah itu blackberry. diantara temen2 saya duluan yg pake android saat itu. wkwk,
O2xb1lVqUv4,@kocakhabis534,Gw paling seneng pake hp itu Oppo aja dari dulu ganti baru beli Oppo lagi <br>Karena mau beli ipon terlalu mahal bagi gw ??,
O2xb1lVqUv4,@babiajaib,iPhone 17 pro max ultra supernatural duper Boomber Made in India,
O2xb1lVqUv4,@Bellamy_Candra,"4 tahun ini aku cukup buat dengan Vivo seri V GK banyak jajan, awet",
O2xb1lVqUv4,@bluecoral969,"tetep iphone dooong, gengsi ama circle gw cuyy",
O2xb1lVqUv4,@videniv8623,"Kalau gue pribadi, sebagus-bagusnya hp China, tetep ga bakal gue beli…",
O2xb1lVqUv4,@samaran3263,y,
O2xb1lVqUv4,@gadgetuser-sg4hd,"kyknya om ded salah info soal layar hp huawei mate xt ultimate, layar hp huawei mate xt ultimate bukan buatan samsung, tp teknologi layar dari Huawei sendiri yang disebut HUAWEI X-True™ Display (LTPO OLED). tp sy bener2 appreciate om ded yg kasih saran ke produsen2 China dan itu benar, sy sendiri jg merasa ada perubahan di hp2 China dlm sethn ini yg software dan kamera selfie nya membaik.",
O2xb1lVqUv4,@inokjesee2222,Aneh baru nonton lagi jelasin ini lompat kesana lagi jelasin sana lampat kemna...<br>Helmi helmi,
O2xb1lVqUv4,@kritiksingkong,"Apanya yang lebih dari iPhone, OS aja masih ikut android wkwkwk",
O2xb1lVqUv4,@AjiPrasojo,"Pembahasan antar 2 fans =<br>Fans iphone: kamera, design, design<br>Fans android: kamera, fitur, teknologi",
O2xb1lVqUv4,@huricantesterlagi,"Klo bung Deddy Irfan yang bicara, gw hanya geleng plus ngangguk2 deh, dia pro di bidang gadget.",
O2xb1lVqUv4,@shiroiidakku,"Nah ini dia alasan gak bisa pindah dari Android. General filenya, lebih enak gak ribet buat Work flow atau kerjaan. Kalau gw pindah ke iphone, banyak pengorbanannya. Harus software yg dipake harus pindah lagi, filenya udah beda sendiri, jadi gak kerjaan.",
O2xb1lVqUv4,@artroom5192,Xiaomi ekosistemnya juga bagus dari mobil tivi leptop speaker ac cctv lampu LED mesin cuci robot penyapu lantan dan perangkat rumah tangga lainya,
O2xb1lVqUv4,@propertystory8987,Hp android itu minus nya cuma ois nya geter??<br>Sama prosesor kalo udh 1-2 tahun jadi Lag… <br>Dr pada beli hp andro cina baru.. buat kaum mendang mending lebih logis yaa pinang mantan flgship ipone ..,
O2xb1lVqUv4,@jualbelimanaj6614,"Mau hp mahal mau hp 2 jutaan, sama aja, yg ptg bisa WA, soal kamera, mmg siapa elu, klo elu model sih gpp ????",
O2xb1lVqUv4,@yusniaribowo9993,"Iphone memperbudak konsumennya tanpa konsumennya sadari....pilihan di kita, mau nggak kita diperbudak?",
O2xb1lVqUv4,@sobriyanto1213,"Saya jamin penontonnya pasti meledak, om Dedi dan tim pengetahuannya tentang smartphone dan laptop luar biasa melebihi youtuber lain yang ada saat ini",
O2xb1lVqUv4,@agustinusmurdiyanto2086,Begitu dia ngomong hp yang pertama dibahas kameranya. Obrolan selanjutnya juga sebagian besar ke kamera. Paling tidak itu mencerminkan preferensi mayoritas orang memilih hp dengan membandingkan kameranya. Juga mencerminkan betapa narsistiknya manusia modern.,
O2xb1lVqUv4,@EstuWidodo-wm3mr,Sekarang udah Redy di shopee,
O2xb1lVqUv4,@akkorz,"Menurut gw sih update software 3 tahun aja sudah cukup, dikarenakan lama2 jg bosan dan mulai lelet jg tuh HP terutama kelas menengah ke bawah ??",
O2xb1lVqUv4,@awaken9989,Sony Xperia 5 Mark ii nyimk,
O2xb1lVqUv4,@IrmanSutowo,"Kbnykan org beli ipon bukan krn kebutuhan tiap krn gaya dan gengsi, pdhl Android menyediakan teknologi yg lebih dibutuhkan",
O2xb1lVqUv4,@sceliomagna,Chimpanzee bodo bicara hp?,
O2xb1lVqUv4,@pashadim9643,Klw belum belimh pasti pengen iphone. Tpi kalau dah beli ya gtu deh. Apalagi klw kita user lama android.. psti pengen balik lagi ke android,
O2xb1lVqUv4,@redyaryadi2964,"nggak butuh ai dan lensa tele tapi butuh gengsi yahsudah apple aja,,, lebih stabil",
O2xb1lVqUv4,@dedehariyanto2756,Trma ksh,
O2xb1lVqUv4,@epepepep-n6r,"ayolahhh dia belum selesei ngomong udah diganti aja ke topik laen, lagi seruuu bahas yang satu eh dibelokin ke yang laenn, jadinya kan gimana gitu",
O2xb1lVqUv4,@aberciomuttaqi307,Yang penting manfaat dan kebutuhan nya tidak perlu  mahal yg penting bagus dan awet. Hanya orang Tolol beli HP untuk gaya dan pamer. Tapi kalo HP china saya NO!!! Tetap samsung harga terjangkau dan awet. Karna Iphone saya gak kebeli ??,
O2xb1lVqUv4,@globalprinting8700,"Suaranya enak bnget, bikin candu, lagi ngomong biasa pun berasa kayak denger review ??",
O2xb1lVqUv4,@Bryan_vincent_theo,Huawei sih sekrng oke bgt,
O2xb1lVqUv4,@RuvyzvatIndonesia,Info donk orang mereka sendiri itu yg ga pake HPnya sendiri itu dari brand apa? Kemungkinan Xiomi Oppo dan Transholding,
O2xb1lVqUv4,@Playgroundkila,Ip tuh emg bagus di OS nya aja sih.perangkat kerasnya sama kyk android,
O2xb1lVqUv4,@mariasupanizilpa,"Iphone 17 harga nya kalah jauh sama xiaomi 15 T,, <br>1 T saja banyak banget, apalagi 15 T. <br>????",
O2xb1lVqUv4,@Lanjut_Fishing,Ngak usah jauh2 Ai . GPS aja dari jaman dulu kurang akurat,
O2xb1lVqUv4,@fiulmamu4877,"Semenjak iphone miskin inovasi baru, sangat amat males ganti ke iphone",
O2xb1lVqUv4,@emporiopratama826,"Ga lah, vivo X300 aja ??",
O2xb1lVqUv4,@ahmadlala7945,"Sagem, Erikson",
O2xb1lVqUv4,@extracuap,saya bisa beli tapi tidak pernah mau beli.... not worth it,
O2xb1lVqUv4,@lembahbiru12,"Hanya di indonesia harga ipone setinggi langit, di negara lain lebih murah",
O2xb1lVqUv4,@matthewsachaullymce279,orang yg Akan (bukan sekedar mau) beli iPhone terbaru gak pernah mikir utk soend…,
O2xb1lVqUv4,@pocoyonamina,buset ternyata om ded didenger langsung produsen,
O2xb1lVqUv4,@ChindraYasa,"Hp dikuasai china,,,dari Xiaomi, Huawei, Iphone , samsung dll. Gak usah gengsi2an , cari yg murah dan berkualitas.",
O2xb1lVqUv4,@AhmadAli-iw6cx,Silicon carbite pertama yg ngenalin honor om Ded..,
O2xb1lVqUv4,@penta688,"Saya memakai tablet huawei untuk pekerjaan di lapangan, dan hasilnya puas. Untuk hp huawei.... Masih mikir2, tp dulu sebelum di banned saya huawei user",
O2xb1lVqUv4,@lemanlie4921,Huawe1 ????????,
